# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Coconut Grove	Florida	25.7126	-80.25699	US	1
Coral Gables	Florida	25.72149	-80.26838	US	1
Olympia Heights	Florida	25.72677	-80.35533	US	1
Westwood Lake	Florida	25.72927	-80.37283	US	1
Coral Terrace	Florida	25.74593	-80.3045	US	1
University Park	Florida	25.74649	-80.36755	US	1
Westchester	Florida	25.75482	-80.32727	US	1
Tamiami	Florida	25.75871	-80.39839	US	1
Flagami	Florida	25.76232	-80.31616	US	1
Sweetwater	Florida	25.76343	-80.37311	US	1
West Miami	Florida	25.76343	-80.29616	US	1
Little Havana	Florida	25.76806	-80.23306	US	1
Fountainebleau	Florida	25.77288	-80.34783	US	1
Miami	Florida	25.77427	-80.19366	US	1
Miami Beach	Florida	25.79065	-80.13005	US	1
Virginia Gardens	Florida	25.81038	-80.30227	US	1
Allapattah	Florida	25.81454	-80.22394	US	1
Doral	Florida	25.81954	-80.35533	US	1
Brownsville	Florida	25.82176	-80.24116	US	1
Miami Springs	Florida	25.82232	-80.2895	US	1
Gladeview	Florida	25.83926	-80.2356	US	1
North Bay Village	Florida	25.84621	-80.15394	US	1
Isle of Normandy	Florida	25.85287	-80.13505	US	1
El Portal	Florida	25.85537	-80.1931	US	1
West Little River	Florida	25.85704	-80.23699	US	1
Hialeah	Florida	25.8576	-80.27811	US	1
Miami Shores	Florida	25.86315	-80.19283	US	1
Hialeah Gardens	Florida	25.8651	-80.3245	US	1
South Point	Texas	25.86869	-97.38359	US	1
Pinewood	Florida	25.86898	-80.21699	US	1
Surfside	Florida	25.87843	-80.1256	US	1
Westview	Florida	25.88204	-80.24199	US	1
Biscayne Park	Florida	25.8826	-80.1806	US	1
Bay Harbor Islands	Florida	25.88759	-80.13116	US	1
North Miami	Florida	25.89009	-80.18671	US	1
Bal Harbour	Florida	25.89176	-80.12699	US	1
Brownsville	Texas	25.90175	-97.49748	US	1
Opa-locka	Florida	25.90232	-80.25033	US	1
Miami Lakes	Florida	25.90871	-80.30866	US	1
Golden Glades	Florida	25.91176	-80.20033	US	1
Bunche Park	Florida	25.92065	-80.23699	US	1
North Miami Beach	Florida	25.93315	-80.16255	US	1
Palm Springs North	Florida	25.9351	-80.33383	US	1
Carol City	Florida	25.94065	-80.2456	US	1
Marco Island	Florida	25.94121	-81.71842	US	1
Scott Lake	Florida	25.94148	-80.23199	US	1
Country Club	Florida	25.94815	-80.317	US	1
Ojus	Florida	25.94843	-80.1506	US	1
